custom_id,question,gold_answer,model_answer,exact_match_normalized,token_f1,bart_similarity
row-32, Which nation lifted the trophy in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-33, Who claimed the championship title in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-34, Which team was crowned the winner of the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-35, Who was the triumphant team in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-36, Which country secured the championship in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-37, Who took home the top honors in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-38, Which nation became the champions of the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-39, Who was declared the winner of the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-40, Which team achieved victory in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-41, Who clinched the title in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-42, Which team emerged victorious in the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-43, Who won the 1938 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-44, Which nation triumphed in the 1938 FIFA World Cup?(Give me the name only),Italy,Argentina,False,0.0,0.719309
row-45, Which team won the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-46, Who emerged as the victor of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-47, Which nation lifted the trophy in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-48, Who claimed the championship title in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-49, Which team was crowned the winner of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-50, Who was the triumphant team in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-51, Which country secured the championship in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-52, Who took home the top honors in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-53, Which nation became the champions of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-54, Who was declared the winner of the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-55, Which team achieved victory in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-56, Who clinched the title in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-57, Which team emerged victorious in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-58, Who won the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-59, Which nation triumphed in the 1950 FIFA World Cup?(Give me the name only),Uruguay,Uruguay,True,1.0,1.000000
row-60, Which team won the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-61, Who emerged as the victor of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-62, Which nation lifted the trophy in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-63, Who claimed the championship title in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-64, Which team was crowned the winner of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-65, Who was the triumphant team in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-66, Which country secured the championship in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-67, Who took home the top honors in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-68, Which nation became the champions of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-69, Who was declared the winner of the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-70, Which team achieved victory in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-71, Who clinched the title in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-72, Which team emerged victorious in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-73, Who won the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-74, Which nation triumphed in the 1954 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-75, Which team won the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-76, Who emerged as the victor of the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-77, Which nation lifted the trophy in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-78, Who claimed the championship title in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-79, Which team was crowned the winner of the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-80, Who was the triumphant team in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-81, Which country secured the championship in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-82, Who took home the top honors in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-83, Which nation became the champions of the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-84, Who was declared the winner of the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-85, Which team achieved victory in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-86, Who clinched the title in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-87, Which team emerged victorious in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-88, Who won the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-89, Which nation triumphed in the 1958 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-90, Which team won the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-91, Who emerged as the victor of the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-92, Which nation lifted the trophy in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-93, Who claimed the championship title in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-94, Which team was crowned the winner of the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-95, Who was the triumphant team in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-96, Which country secured the championship in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-97, Who took home the top honors in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-98, Which nation became the champions of the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-99, Who was declared the winner of the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-100, Which team achieved victory in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-101, Who clinched the title in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-102, Which team emerged victorious in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-103, Who won the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-104, Which nation triumphed in the 1962 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-105, Which team won the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-106, Who emerged as the victor of the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-107, Which nation lifted the trophy in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-108, Who claimed the championship title in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-109, Which team was crowned the winner of the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-110, Who was the triumphant team in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-111, Which country secured the championship in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-112, Who took home the top honors in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-113, Which nation became the champions of the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-114, Who was declared the winner of the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-115, Which team achieved victory in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-116, Who clinched the title in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-117, Which team emerged victorious in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-118, Who won the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-119, Which nation triumphed in the 1966 FIFA World Cup?(Give me the name only),England,England,True,1.0,1.000000
row-120, Which team won the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-121, Who emerged as the victor of the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-122, Which nation lifted the trophy in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-123, Who claimed the championship title in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-124, Which team was crowned the winner of the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-125, Who was the triumphant team in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-126, Which country secured the championship in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-127, Who took home the top honors in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-128, Which nation became the champions of the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-129, Who was declared the winner of the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-130, Which team achieved victory in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-131, Who clinched the title in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-132, Which team emerged victorious in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-133, Who won the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-134, Which nation triumphed in the 1970 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-135, Which team won the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-136, Who emerged as the victor of the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-137, Which nation lifted the trophy in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-138, Who claimed the championship title in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-139, Which team was crowned the winner of the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-140, Who was the triumphant team in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-141, Which country secured the championship in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-142, Who took home the top honors in the 1974 FIFA World Cup?(Give me the name only),West Germany,Germany,False,0.6666666666666666,0.886616
row-143, Which nation became the champions of the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-144, Who was declared the winner of the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-145, Which team achieved victory in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-146, Who clinched the title in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-147, Which team emerged victorious in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-148, Who won the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-149, Which nation triumphed in the 1974 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-150, Which team won the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-151, Who emerged as the victor of the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-152, Which nation lifted the trophy in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-153, Who claimed the championship title in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-154, Which team was crowned the winner of the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-155, Who was the triumphant team in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-156, Which country secured the championship in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-157, Who took home the top honors in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-158, Which nation became the champions of the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-159, Who was declared the winner of the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-160, Which team achieved victory in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-161, Who clinched the title in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-162, Which team emerged victorious in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-163, Who won the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-164, Which nation triumphed in the 1978 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-165, Which team won the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-166, Who emerged as the victor of the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-167, Which nation lifted the trophy in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-168, Who claimed the championship title in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-169, Which team was crowned the winner of the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-170, Who was the triumphant team in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-171, Which country secured the championship in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-172, Who took home the top honors in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-173, Which nation became the champions of the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-174, Who was declared the winner of the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-175, Which team achieved victory in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-176, Who clinched the title in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-177, Which team emerged victorious in the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-178, Who won the 1982 FIFA World Cup?(Give me the name only),Italy,Italy,True,1.0,1.000000
row-179, Which nation triumphed in the 1982 FIFA World Cup?(Give me the name only),Italy,Argentina,False,0.0,0.719309
row-180, Which team won the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-181, Who emerged as the victor of the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-182, Which nation lifted the trophy in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-183, Who claimed the championship title in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-184, Which team was crowned the winner of the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-185, Who was the triumphant team in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-186, Which country secured the championship in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-187, Who took home the top honors in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-188, Which nation became the champions of the 1986 FIFA World Cup?(Give me the name only),Argentina, Argentina,True,1.0,0.761520
row-189, Who was declared the winner of the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-190, Which team achieved victory in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-191, Who clinched the title in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-192, Which team emerged victorious in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-193, Who won the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-194, Which nation triumphed in the 1986 FIFA World Cup?(Give me the name only),Argentina,Argentina,True,1.0,1.000000
row-195, Which team won the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-196, Who emerged as the victor of the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-197, Which nation lifted the trophy in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-198, Who claimed the championship title in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-199, Which team was crowned the winner of the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-200, Who was the triumphant team in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-201, Which country secured the championship in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-202, Who took home the top honors in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-203, Which nation became the champions of the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-204, Who was declared the winner of the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-205, Which team achieved victory in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-206, Who clinched the title in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-207, Which team emerged victorious in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-208, Who won the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-209, Which nation triumphed in the 1990 FIFA World Cup?(Give me the name only),West Germany,West Germany,True,1.0,1.000000
row-210, Which team won the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-211, Who emerged as the victor of the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-212, Which nation lifted the trophy in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-213, Who claimed the championship title in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-214, Which team was crowned the winner of the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-215, Who was the triumphant team in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-216, Which country secured the championship in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-217, Who took home the top honors in the 1994 FIFA World Cup?(Give me the name only),Brazil,Italy,False,0.0,0.900225
row-218, Which nation became the champions of the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-219, Who was declared the winner of the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-220, Which team achieved victory in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-221, Who clinched the title in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-222, Which team emerged victorious in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-223, Who won the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-224, Which nation triumphed in the 1994 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-225, Which team won the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-226, Who emerged as the victor of the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-227, Which nation lifted the trophy in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-228, Who claimed the championship title in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-229, Which team was crowned the winner of the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-230, Who was the triumphant team in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-231, Which country secured the championship in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-232, Who took home the top honors in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-233, Which nation became the champions of the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-234, Who was declared the winner of the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-235, Which team achieved victory in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-236, Who clinched the title in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-237, Which team emerged victorious in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-238, Who won the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-239, Which nation triumphed in the 1998 FIFA World Cup?(Give me the name only),France,France,True,1.0,1.000000
row-240, Which team won the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-241, Who emerged as the victor of the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-242, Which nation lifted the trophy in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-243, Who claimed the championship title in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-244, Which team was crowned the winner of the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-245, Who was the triumphant team in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-246, Which country secured the championship in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-247, Who took home the top honors in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-248, Which nation became the champions of the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-249, Who was declared the winner of the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-250, Which team achieved victory in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-251, Who clinched the title in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
row-252, Which team emerged victorious in the 2002 FIFA World Cup?(Give me the name only),Brazil,Brazil,True,1.0,1.000000
